category,item,value,source,notes
History,median_years,2.9,e0_history_distribution.csv,
History,mean_years,3.7,e0_history_distribution.csv,
History,ge_15y,23,e0_history_distribution.csv,
History,ge_10y,80,e0_history_distribution.csv,
History,ge_5y,404,e0_history_distribution.csv,
History,ge_3y,648,e0_history_distribution.csv,
Correlation,n_series,534,e0_correlation_clusters.csv,
Correlation,n_pairs,109532,e0_correlation_clusters.csv,min_periods=250
Correlation,pairs_gt_0.80,12237,e0_correlation_clusters.csv,
Correlation,mean,0.555,e0_correlation_clusters.csv,
Correlation,independent_clusters_rho0.8,79,e0_correlation_clusters.csv,distance threshold 0.3
Signal_Density,total_days,4941,e0_signal_density.csv,
Signal_Density,mean_eligible,101.3,e0_signal_density.csv,
Signal_Density,mean_signals,4.92,e0_signal_density.csv,
Signal_Density,median_signals,0,e0_signal_density.csv,
Signal_Density,pct_zero_signal,68.9%,e0_signal_density.csv,
Signal_Density,max_signals,266,e0_signal_density.csv,
Capital_Util,avg_invested_pct,67.4%,e0_capital_utilization.csv,
Capital_Util,median_invested_pct,99.97%,e0_capital_utilization.csv,
Capital_Util,fully_invested_pct,51.8%,e0_capital_utilization.csv,
Capital_Util,lt50_invested_pct,31.8%,e0_capital_utilization.csv,
Capital_Util,total_return_diagnostic,-56.6%,e0_capital_utilization.csv,冻结baseline诊断，非优化
Decision,verdict,CONDITIONAL_GO,e0_universe_audit.md N节,
Decision,conditions,"index_daily补全;B2规则冻结;ADV60>=2000万过滤;Model1+Model2双轨;交易规则tick+涨跌停;E1禁止优化",e0_universe_audit.md O节,
Data,fund_basic_rows,2941,retrieval_meta.json,2205L+676D
Data,index_basic_rows,8000,retrieval_meta.json,CSI全部
Data,fund_daily_files,1345,data/raw/etf/fund_daily/,
Data,fund_adj_files,1345,data/raw/etf/fund_adj/,
Data,fund_share_files,1358,data/raw/etf/fund_share/,
Data,index_daily_status,部分下载中,e0_download_index_daily.py,154 unique index
Data,retrieval_date,2026-09-04,retrieval_meta.json,
